year,High Renaissance,Neoclassicism,Romanticism,Early Renaissance,Rococo,Baroque,Realism,Northern Renaissance
1422,0,0,0,1,0,0,0,0
1424,0,0,0,0,0,0,0,1
1425,0,0,0,1,0,0,0,0
1426,0,0,0,2,0,0,0,0
1427,0,0,0,1,0,0,0,0
1430,0,0,0,1,0,0,0,1
1431,0,0,0,1,0,0,0,0
1432,0,0,0,0,0,0,0,1
1434,0,0,0,0,0,0,0,1
1435,0,0,0,1,0,0,0,5
1436,0,0,0,1,0,0,0,1
1438,0,0,0,0,0,0,0,1
1440,0,0,0,0,0,0,0,1
1441,0,0,0,2,0,0,0,1
1443,0,0,0,1,0,0,0,0
1444,0,0,0,0,0,0,0,1
1445,0,0,0,5,0,0,0,2
1446,0,0,0,0,0,0,0,2
1447,0,0,0,2,0,0,0,0
1449,0,0,0,2,0,0,0,1
1450,0,0,0,5,0,0,0,3
1452,0,0,0,1,0,0,0,0
1456,0,0,0,1,0,0,0,0
1458,0,0,0,0,0,0,0,1
1459,0,0,0,1,0,0,0,0
1460,0,0,0,4,0,0,0,4
1462,0,0,0,0,0,0,0,1
1464,0,0,0,2,0,0,0,1
1465,0,0,0,3,0,0,0,1
1466,0,0,0,0,0,0,0,1
1468,0,0,0,0,0,0,0,1
1470,0,0,0,3,0,0,0,7
1473,0,0,0,5,0,0,0,0
1475,0,0,0,4,0,0,0,2
1476,0,0,0,1,0,0,0,0
1478,0,0,0,2,0,0,0,1
1480,0,0,0,4,0,0,0,1
1481,0,0,0,1,0,0,0,1
1483,0,0,0,1,0,0,0,0
1485,0,0,0,2,0,0,0,2
1486,0,0,0,1,0,0,0,0
1487,1,0,0,2,0,0,0,0
1488,0,0,0,1,0,0,0,0
1490,3,0,0,1,0,0,0,1
1491,0,0,0,0,0,0,0,1
1492,1,0,0,1,0,0,0,0
1493,2,0,0,0,0,0,0,1
1495,5,0,0,1,0,0,0,0
1496,2,0,0,0,0,0,0,0
1497,1,0,0,0,0,0,0,0
1498,1,0,0,0,0,0,0,4
1500,6,0,0,1,0,0,0,3
1501,2,0,0,0,0,0,0,0
1502,2,0,0,0,0,0,0,0
1503,0,0,0,0,0,0,0,1
1504,2,0,0,0,0,0,0,0
1505,5,0,0,0,0,0,0,0
1506,1,0,0,1,0,0,0,1
1507,2,0,0,0,0,0,0,3
1508,0,0,0,0,0,0,0,1
1509,1,0,0,0,0,0,0,1
1510,9,0,0,0,0,0,0,3
1513,1,0,0,0,0,0,0,2
1514,0,0,0,0,0,0,0,1
1515,2,0,0,0,0,0,0,4
1516,0,0,0,0,0,0,0,1
1517,2,0,0,0,0,0,0,3
1518,1,0,0,0,0,0,0,0
1519,0,0,0,0,0,0,0,3
1520,3,0,0,0,0,0,0,6
1521,0,0,0,0,0,0,0,2
1522,3,0,0,0,0,0,0,0
1523,1,0,0,0,0,0,0,2
1524,3,0,0,0,0,0,0,1
1525,0,0,0,0,0,0,0,3
1527,1,0,0,0,0,0,0,1
1528,0,0,0,0,0,0,0,1
1529,0,0,0,0,0,0,0,2
1530,2,0,0,0,0,0,0,5
1532,0,0,0,0,0,0,0,1
1533,2,0,0,0,0,0,0,2
1534,2,0,0,0,0,0,0,1
1535,0,0,0,0,0,0,0,1
1536,0,0,0,0,0,0,0,1
1538,1,0,0,0,0,0,0,0
1539,0,0,0,0,0,0,0,1
1540,0,0,0,0,0,0,0,1
1544,0,0,0,0,0,0,0,1
1550,0,0,0,0,0,0,0,1
1552,0,0,0,0,0,0,0,1
1553,0,0,0,0,0,0,0,1
1559,0,0,0,0,0,0,0,4
1560,0,0,0,0,0,0,0,1
1565,0,0,0,0,0,0,0,2
1567,0,0,0,0,0,0,0,1
1568,0,0,0,0,0,0,0,2
1570,0,0,0,0,0,0,0,1
1572,0,0,0,0,0,0,0,1
1575,0,0,0,0,0,0,0,2
1576,0,0,0,0,0,0,0,1
1577,0,0,0,0,0,0,0,2
1578,0,0,0,0,0,0,0,1
1580,0,0,0,0,0,1,0,0
1582,0,0,0,0,0,1,0,0
1583,0,0,0,0,0,1,0,0
1584,0,0,0,0,0,1,0,0
1585,0,0,0,0,0,0,0,2
1587,0,0,0,0,0,1,0,0
1588,0,0,0,0,0,0,0,1
1589,0,0,0,0,0,1,0,0
1590,0,0,0,0,0,1,0,2
1592,0,0,0,0,0,1,0,0
1593,0,0,0,0,0,2,0,0
1595,0,0,0,0,0,2,0,0
1596,0,0,0,0,0,1,0,0
1597,0,0,0,0,0,1,0,0
1598,0,0,0,0,0,2,0,0
1599,0,0,0,0,0,2,0,0
1600,0,0,0,0,0,4,0,1
1602,0,0,0,0,0,3,0,0
1603,0,0,0,0,0,2,0,0
1605,0,0,0,0,0,2,0,1
1606,0,0,0,0,0,1,0,0
1607,0,0,0,0,0,2,0,1
1610,0,0,0,0,0,4,0,0
1611,0,0,0,0,0,1,0,1
1613,0,0,0,0,0,1,0,0
1614,0,0,0,0,0,3,0,0
1615,0,0,0,0,0,4,0,0
1616,0,0,0,0,0,2,0,0
1617,0,0,0,0,0,1,0,0
1618,0,0,0,0,0,5,0,0
1619,0,0,0,0,0,1,0,0
1620,0,0,0,0,0,5,0,0
1621,0,0,0,0,0,1,0,0
1622,0,0,0,0,0,5,0,0
1623,0,0,0,0,0,1,0,0
1624,0,0,0,0,0,2,0,0
1625,0,0,0,0,0,4,0,1
1626,0,0,0,0,0,1,0,0
1627,0,0,0,0,0,3,0,0
1628,0,0,0,0,0,2,0,0
1629,0,0,0,0,0,8,0,0
1630,0,0,0,0,0,13,0,0
1631,0,0,0,0,0,4,0,0
1632,0,0,0,0,0,2,0,0
1633,0,0,0,0,0,9,0,0
1634,0,0,0,0,0,4,0,0
1635,0,0,0,0,0,9,0,0
1636,0,0,0,0,0,3,0,0
1637,0,0,0,0,0,6,0,0
1638,0,0,0,0,0,3,0,0
1639,0,0,0,0,0,4,0,0
1640,0,0,0,0,0,6,0,0
1710,0,0,0,0,1,0,0,0
1716,0,0,0,0,1,0,0,0
1717,0,0,0,0,2,0,0,0
1718,0,0,0,0,1,0,0,0
1727,0,0,0,0,1,0,0,0
1728,0,0,0,0,3,0,0,0
1730,0,0,0,0,2,0,0,0
1731,0,0,0,0,2,0,0,0
1733,0,0,0,0,1,0,0,0
1734,0,0,0,0,1,0,0,0
1735,0,0,0,0,2,0,0,0
1736,0,0,0,0,1,0,0,0
1739,0,0,0,0,3,0,0,0
1740,0,0,0,0,1,0,0,0
1741,0,0,0,0,1,0,0,0
1742,0,0,0,0,3,0,0,0
1743,0,0,0,0,2,0,0,0
1744,0,0,0,0,1,0,0,0
1745,0,0,0,0,2,0,0,0
1746,0,0,0,0,3,0,0,0
1747,0,0,0,0,1,0,0,0
1748,0,0,0,0,4,0,0,0
1749,0,0,0,0,3,0,0,0
1750,0,1,0,0,3,0,0,0
1751,0,0,0,0,4,0,0,0
1752,0,0,0,0,1,0,0,0
1753,0,1,0,0,3,0,0,0
1755,0,0,0,0,1,0,0,0
1756,0,0,0,0,4,0,0,0
1757,0,0,0,0,6,0,0,0
1758,0,0,0,0,2,0,0,0
1760,0,0,0,0,5,0,0,0
1761,0,1,0,0,1,0,0,0
1762,0,2,2,0,2,0,0,0
1763,0,0,0,0,1,0,0,0
1765,0,4,2,0,6,0,0,0
1766,0,0,0,0,2,0,0,0
1767,0,1,0,0,2,0,0,0
1768,0,0,0,0,1,0,0,0
1769,0,0,0,0,9,0,0,0
1770,0,0,0,0,8,0,0,0
1771,0,0,1,0,2,0,0,0
1772,0,1,1,0,5,0,0,0
1773,0,2,1,0,1,0,0,0
1774,0,1,1,0,3,0,0,0
1775,0,0,2,0,5,0,0,0
1776,0,2,0,0,1,0,0,0
1777,0,1,1,0,1,0,0,0
1778,0,0,1,0,4,0,0,0
1779,0,0,1,0,2,0,0,0
1780,0,1,0,0,10,0,0,0
1781,0,0,2,0,0,0,0,0
1782,0,2,9,0,3,0,0,0
1783,0,0,6,0,3,0,0,0
1784,0,1,2,0,1,0,0,0
1785,0,1,0,0,6,0,0,0
1786,0,1,1,0,3,0,0,0
1787,0,2,0,0,1,0,0,0
1788,0,3,0,0,3,0,0,0
1789,0,4,0,0,0,0,0,0
1790,0,1,1,0,0,0,0,0
1791,0,1,1,0,0,0,0,0
1792,0,1,0,0,0,0,0,0
1793,0,3,2,0,0,0,0,0
1794,0,1,1,0,0,0,0,0
1796,0,1,1,0,0,0,0,0
1797,0,2,3,0,0,0,0,0
1798,0,3,2,0,0,0,0,0
1799,0,2,5,0,0,0,0,0
1800,0,7,4,0,0,0,0,0
1801,0,3,2,0,0,0,0,0
1802,0,4,3,0,0,0,0,0
1803,0,1,1,0,0,0,0,0
1804,0,1,2,0,0,0,0,0
1805,0,3,2,0,0,0,0,0
1806,0,0,2,0,0,0,0,0
1807,0,1,2,0,0,0,0,0
1808,0,2,4,0,0,0,0,0
1809,0,0,5,0,0,0,0,0
1810,0,1,5,0,0,0,0,0
1811,0,2,5,0,0,0,0,0
1812,0,3,10,0,0,0,0,0
1813,0,1,2,0,0,0,0,0
1814,0,3,3,0,0,0,1,0
1815,0,2,5,0,0,0,0,0
1816,0,2,3,0,0,0,0,0
1817,0,1,5,0,0,0,0,0
1818,0,0,5,0,0,0,0,0
1819,0,2,3,0,0,0,1,0
1820,0,1,7,0,0,0,0,0
1821,0,1,3,0,0,0,0,0
1822,0,0,6,0,0,0,0,0
1823,0,0,5,0,0,0,1,0
1824,0,1,3,0,0,0,2,0
1825,0,1,6,0,0,0,0,0
1826,0,1,5,0,0,0,2,0
1827,0,1,8,0,0,0,0,0
1828,0,2,7,0,0,0,0,0
1829,0,0,3,0,0,0,1,0
1830,0,0,2,0,0,0,3,0
1831,0,0,0,0,0,0,2,0
1832,0,2,0,0,0,0,2,0
1833,0,1,0,0,0,0,1,0
1834,0,0,0,0,0,0,4,0
1835,0,2,0,0,0,0,2,0
1836,0,0,0,0,0,0,3,0
1837,0,0,0,0,0,0,3,0
1838,0,0,0,0,0,0,1,0
1839,0,0,0,0,0,0,2,0
1840,0,0,0,0,0,0,1,0
1843,0,3,0,0,0,0,1,0
1844,0,0,0,0,0,0,1,0
1845,0,1,0,0,0,0,2,0
1846,0,0,0,0,0,0,1,0
1847,0,0,0,0,0,0,4,0
1848,0,1,0,0,0,0,4,0
1849,0,0,0,0,0,0,1,0
1850,0,2,0,0,0,0,4,0
1851,0,0,0,0,0,0,1,0
1852,0,1,0,0,0,0,6,0
1853,0,1,0,0,0,0,5,0
1854,0,1,0,0,0,0,2,0
1855,0,0,0,0,0,0,1,0
1856,0,0,0,0,0,0,1,0
1857,0,0,0,0,0,0,3,0
1858,0,0,0,0,0,0,1,0
1859,0,0,0,0,0,0,3,0
1860,0,0,0,0,0,0,4,0
1861,0,0,0,0,0,0,1,0
1862,0,0,0,0,0,0,5,0
1863,0,1,0,0,0,0,4,0
1864,0,0,0,0,0,0,4,0
1865,0,0,0,0,0,0,5,0
1866,0,1,0,0,0,0,9,0
1867,0,0,0,0,0,0,3,0
1868,0,0,0,0,0,0,7,0
1869,0,0,0,0,0,0,10,0
1870,0,0,0,0,0,0,8,0
1871,0,0,0,0,0,0,9,0
1872,0,0,0,0,0,0,13,0
1873,0,0,0,0,0,0,6,0
1874,0,0,0,0,0,0,5,0
1875,0,1,0,0,0,0,2,0
1879,0,1,0,0,0,0,0,0
1882,0,1,0,0,0,0,0,0
1895,0,1,0,0,0,0,0,0
1901,0,1,0,0,0,0,0,0
1903,0,1,0,0,0,0,0,0
1904,0,1,0,0,0,0,0,0
1906,0,1,0,0,0,0,0,0
1907,0,1,0,0,0,0,0,0
1913,0,1,0,0,0,0,0,0
1914,0,1,0,0,0,0,0,0
1917,0,2,0,0,0,0,0,0
1918,0,1,0,0,0,0,0,0
1919,0,1,0,0,0,0,0,0
1922,0,1,0,0,0,0,0,0
1926,0,1,0,0,0,0,0,0
1928,0,1,0,0,0,0,0,0
1930,0,1,0,0,0,0,0,0
